段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
層3:自動適用(初期)	A-5	月次集計(3月当月)	R-1保存後	実績に800,000×84%=672,000含む	A-5.png	月次集計(3月)	固定費実績に地代家賃日割り含む	固定費実績1,864,745(672,000含む)	OK(地代家賃)	地代家賃の実績計上OK。※予算グレー2,219,935は別問題(家賃項目の参照元)
層4:パラメータ変更	A-6	同一適用日でパラメータ変更	固定300,000/段階3→15%/最低保証500,000に変更保存	3月:500,000/4月:500,000	A-6.png	設定画面	変更後計算額	「賃料設定を更新しました」/3月500,000/4月500,000	OK	3月:歩合433,333<最低保証500,000。4月も最低保証適用
層4:パラメータ変更	A-7	年間予算一覧(変更後)	A-6変更後	3月:500,000/4月:500,000	A-7.png	年間予算一覧	変更後DEFAULT反映	3月500,000/4月500,000	OK	変更後DEFAULTが反映
層4:パラメータ変更	A-8	年間予実対比(変更後)	A-6変更後	3月:予算500,000=実績500,000/100%	A-8.png	年間予実対比	変更後も予算=実績(月額)	予算500,000=実績500,000/100%	OK	変更後DEFAULTで予算=実績
層4:パラメータ変更	A-9	予実対比+月次集計(変更後)	A-6変更後/期間03/01-03/26	予実対比:予算=実績=500,000×84%=420,000	A-9.png	予実対比+月次集計	日割りで予算=実績	予算420,000=実績420,000/100%。月次集計:実績1,612,745	OK	変更後DEFAULTに日割り84%適用。予算=実績
層4:パラメータ変更	A-10	親設定削除後	A-6の設定を削除	3月4月の地代家賃がブランクor0	A-10.png	年間予算一覧	削除後に値クリア	「賃料設定がありません」/地代家賃消滅/年間予実0/予実対比0	OK	親設定削除→全月のDEFAULT消滅
層5:適用開始日切替	S-1	後ろ倒し(03/01→04/01)	初期設定に戻し適用開始日04/01に変更	3月クリア/4月800,000維持	S-1.png	年間予算一覧+年間予実対比	3月クリア/4月維持	3月¥0/4月800,000/年間予実3月¥0	OK	3月が適用対象外に。4月は維持
層5:適用開始日切替	S-2	前倒し(04/01→03/01)	適用開始日を03/01に戻す	3月に800,000再適用	S-2.png	年間予算一覧+予実対比	3月に800,000復活	3月800,000/4月800,000	OK	3月が再適用対象に
層5:適用開始日切替	S-3	境界確認	S-2の状態	1-2月:0orブランク/3月:800,000の境界	S-3.png	年間予算一覧+年間予実対比	2月→3月の切り替わり	S-1/S-2で実質確認済み	OK	適用前/適用開始の境界
層6:境界条件	B-1	月次予算の後追加+順序検証	R-1保存後に5月月次予算を新規作成(売上4,076,121)	5月:800,000が自動適用	B-1.png	年間予算一覧	後追加+親設定先行でもDEFAULT反映	5月800,000(最低保証適用)	OK	B-2(順序検証)も同時にカバー
層6:境界条件	B-2	親設定→月次予算の順序	B-1に統合	B-1と同じ結果	-	-	B-1で検証済み	B-1参照	OK	B-1で実質検証済み
層6:境界条件	B-3	売上変更時の再計算	検証不要	-	-	-	-	-	不要	月次予算の再保存で自動反映される仕様
層6:境界条件	B-4	適用開始日の重複制約	同じ適用開始日で保存	同じ値が更新される	-	-	-	-	OK	重複エラーではなく更新される仕様
層6:境界条件	B-5	適用開始日が月途中(03/15)	適用開始日を03/15に変更保存	3月に適用されるか確認	B-5.png	年間予算一覧+年間予実対比+予実対比+月次集計	月途中の適用開始日の扱い	3月¥0(未適用)/4月800,000/5月800,000。年間予実3月¥0。予実対比3月¥0	OK(仕様確認)	適用開始日が月途中の場合、その月には適用されず翌月から有効。3月¥0/4月以降800,000
層6:境界条件	B-6	既存単月設定との競合	検証不要	-	-	-	-	-	不要	先出リリースでは単月設定が非表示
層7:回帰	REG-1	他固定費+費用設定	R-1保存後	他固定費変化なし	REG-1.png	年間予算一覧+費用設定	副作用なし	水道光熱費150,287/減価償却費69,648等変化なし	OK	スクショで確認済み
層7:回帰	REG-2	営業利益の整合	R-1+A-6変更後	営業利益差=地代家賃差	REG-2.png	年間予算一覧(3月)	変更前後差分一致		未検証	変更前後の営業利益差=地代家賃差(800,000-500,000=300,000)
