段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
賃料設定:複数設定の管理	RS-11	複数適用開始日の共存	既存設定(03/01)を維持したまま新規に適用開始日05/01の設定を追加	賃料設定一覧に2行表示(03/01=現在、05/01=予定)	RS-11_複数設定.png	地代家賃設定画面	複数設定が一覧に正しく表示されるか		未検証	適用開始日の異なる設定が共存でき、ステータス(現在/予定)が正しいか
賃料設定:複数設定の管理	RS-12	3つ以上の設定共存	03/01+05/01+06/01の3設定を作成	賃料設定一覧に3行表示	RS-12_3設定.png	地代家賃設定画面	3設定が正しく表示され、ステータスが正しいか		未検証	03/01=現在、05/01=予定、06/01=予定。適用順序が正しいか
賃料設定:複数設定の管理	RS-13	設定の削除	05/01の設定を削除	賃料設定一覧から05/01の行が消える/残りの設定に影響なし	RS-13_設定削除.png	地代家賃設定画面	削除後の一覧表示と残存設定への影響		未検証	削除した設定の月(5月)が旧設定(03/01)のDEFAULT計算額に戻るか
賃料設定:複数設定の管理	RS-14	設定の編集(適用日変更なし)	既存設定(03/01)の固定賃料や歩合率を変更して保存	設定内容が更新される/他の適用開始日の設定に影響なし	RS-14_設定編集.png	地代家賃設定画面	編集後の賃料情報表示と他設定への非影響		未検証	適用日を変えずに内容変更が可能か。変更後のシミュレーション金額も確認
賃料設定:単月設定の管理	RS-15	単月設定の追加	3月を¥555,555に単月設定	単月設定一覧に3月¥555,555が表示	RS-15_単月追加.png	地代家賃設定画面	単月設定一覧の表示(月/金額/操作)		未検証	単月設定一覧に行が追加され、金額が正しいか
賃料設定:単月設定の管理	RS-16	単月設定の変更	3月の単月設定を¥555,555→¥400,000に変更	単月設定一覧の金額が¥400,000に更新	RS-16_単月変更.png	地代家賃設定画面	単月設定モーダルでの変更と一覧への反映		未検証	デフォルト計算額¥800,000/入力¥400,000/「デフォルトから¥400,000減少」
賃料設定:単月設定の管理	RS-17	単月設定の削除(リセット)	3月の単月設定を「月次設定を削除」で削除	単月設定一覧から3月が消える/デフォルト計算額に復帰	RS-17_単月削除.png	地代家賃設定画面	削除後の単月設定一覧と予算構成への影響		未検証	単月設定一覧が空になる/予算構成が¥800,000に復帰
賃料設定:単月設定の管理	RS-18	複数月の単月設定	3月¥555,555+4月¥450,000を単月設定	単月設定一覧に2行表示	RS-18_複数単月.png	地代家賃設定画面	複数月の単月設定が一覧に正しく表示されるか		未検証	3月¥555,555/4月¥450,000の2行が表示。それぞれ独立して管理されるか
賃料設定:単月設定の管理	RS-19	異なる適用開始日設定下の単月設定	05/01の新設定で5月に単月設定¥350,000	5月の単月設定が新設定のDEFAULT(¥500,000等)に対する上書きとして機能	RS-19_異設定単月.png	地代家賃設定画面	適用開始日が異なる設定でも単月設定が正しく機能するか		未検証	新設定のDEFAULT計算額に対して単月上書きができるか/デフォルト値の計算条件詳細が新設定ベースか
不具合1:日割り未適用+実績デフォルト残存(親設定)	BUG1-1	親設定の予実対比(期間)	親設定DEFAULT¥800,000/単月設定なし/期間03/01-03/23	予算=実績=¥800,000×日割り率(他固定費と同じ方式)	BUG1-1_予実対比期間_親設定.png	予実対比(期間)	地代家賃の予算・実績が他固定費と同じ日割りで計上されるか		未検証	他固定費:予算=実績=月額×76%。地代家賃も¥800,000×76%=¥608,000で予算=実績になるべき
不具合1:日割り未適用+実績デフォルト残存(親設定)	BUG1-2	親設定の年間予実対比	親設定DEFAULT¥800,000/単月設定なし	予算¥800,000=実績¥800,000(月額ベース・日割りなし)	BUG1-2_年間予実対比_親設定.png	年間予実対比	月額ベースで予算=実績が成立するか		未検証	年間予実対比は日割りなし・月額表示。親設定では予算=実績で正常のはず
不具合1:日割り未適用+実績デフォルト残存(親設定)	BUG1-3	親設定の月次集計	親設定DEFAULT¥800,000/単月設定なし	固定費予算(グレー)・固定費実績の基準値を記録	BUG1-3_月次集計_親設定.png	月次集計(3月)	固定費の予算・実績の値(単月設定との比較基準)		未検証	固定費予算(グレー)¥2,849,200/固定費実績¥2,165,392を基準値として記録
不具合1:日割り未適用+実績デフォルト残存(親設定)	BUG1-4	親設定の月次予算設定	親設定DEFAULT¥800,000/単月設定なし	予算構成の地代家賃=¥800,000	BUG1-4_月次予算設定_親設定.png	月次予算設定(3月)	地代家賃が予算構成に正しく含まれるか(基準記録)		未検証	予算のみの画面。地代家賃¥800,000が予算構成に含まれているか
不具合1:日割り未適用+実績デフォルト残存(親設定)	BUG1-5	親設定の年間予算一覧	親設定DEFAULT¥800,000/単月設定なし	3月:地代家賃¥800,000	BUG1-5_年間予算一覧_親設定.png	年間予算一覧(予算構成)	地代家賃が正しく表示されるか(基準記録)		未検証	予算のみの画面。3月¥800,000、月次予算未設定月はブランク
不具合1:日割り未適用+実績デフォルト残存(単月設定)	BUG1-6	単月設定の予実対比(期間)	3月を¥555,555に単月設定/期間03/01-03/23	予算=実績=¥555,555×日割り率(他固定費と同じ方式)	BUG1-6_予実対比期間_単月.png	予実対比(期間)	予算に日割りが適用されるか/実績が単月設定ベースで算出されるか		未検証	期待:予算=実績=¥555,555×76%=¥422,222。【不具合】予算¥555,555(日割り未適用)+実績¥608,000(DEFAULT¥800,000×76%)
不具合1:日割り未適用+実績デフォルト残存(単月設定)	BUG1-7	単月設定の年間予実対比	3月を¥555,555に単月設定	予算¥555,555=実績¥555,555(月額ベース・日割りなし)	BUG1-7_年間予実対比_単月.png	年間予実対比	月額ベースで予算=実績が成立するか/実績が単月設定値になるか		未検証	期待:予算=実績=¥555,555。【不具合】予算¥555,555/実績¥800,000(=DEFAULT)。実績にDEFAULT値が残存
不具合1:日割り未適用+実績デフォルト残存(単月設定)	BUG1-8	単月設定の月次集計	3月を¥555,555に単月設定	固定費予算がBUG1-3から¥244,445減少/固定費実績も変化	BUG1-8_月次集計_単月.png	月次集計(3月)	固定費の予算・実績の変化		未検証	予算:¥2,849,200→¥2,604,755(差額反映)。【不具合】実績:¥2,165,392→変化なし(単月設定が実績に未反映)
不具合1:日割り未適用+実績デフォルト残存(単月設定)	BUG1-9	単月設定の月次予算設定	3月を¥555,555に単月設定	予算構成の地代家賃=¥555,555	BUG1-9_月次予算設定_単月.png	月次予算設定(3月)	単月設定値が予算構成に反映されるか		未検証	予算のみの画面。地代家賃が¥800,000→¥555,555に変化するか
不具合1:日割り未適用+実績デフォルト残存(単月設定)	BUG1-10	単月設定の年間予算一覧	3月を¥555,555に単月設定	3月:地代家賃¥555,555	BUG1-10_年間予算一覧_単月.png	年間予算一覧(予算構成)	単月設定値が反映されるか		未検証	予算のみの画面。3月が¥800,000→¥555,555に変化するか
不具合2:適用開始日変更で保存不可	BUG2-1	月次予算作成済み月へ適用日変更	4月の月次予算設定を作成済み/既登録の地代家賃設定(適用開始日03/01)を編集し適用開始日を04/01に変更して保存	保存が成功する/またはエラーメッセージが表示される	BUG2-1_適用日変更.png	地代家賃設定画面	保存可否とエラーメッセージの内容		未検証	保存不可の事象が発生。エラーメッセージの内容と発生条件を記録
不具合2:適用開始日変更で保存不可	BUG2-2	新規設定追加での回避確認	既存設定は変更せず、新規に適用開始日04/01の賃料設定を追加	新規設定として保存が成功する	BUG2-2_新規追加.png	地代家賃設定画面	新規追加なら保存可能か(既存編集との違い)		未検証	既存設定の編集ではなく新規追加で回避できるか確認
不具合2:適用開始日変更で保存不可	BUG2-3	月次予算未作成月への適用日変更	月次予算が未作成の月(例:7月)を適用開始日に指定して既存設定を変更	保存が成功する	BUG2-3_未作成月.png	地代家賃設定画面	月次予算の有無が保存可否に影響するか		未検証	月次予算未設定月への変更で保存可否を切り分け
不具合2:適用開始日変更で保存不可	BUG2-4	過去月への適用日変更	既登録の地代家賃設定の適用開始日を過去月(例:01/01)に変更して保存	保存が成功する/またはエラーメッセージ	BUG2-4_過去月.png	地代家賃設定画面	過去月への変更で別のエラーが出るか		未検証	過去月への変更可否を確認
不具合2:適用開始日変更で保存不可	BUG2-5	同一適用日で設定内容のみ変更	既登録の地代家賃設定の適用開始日は03/01のまま、固定賃料等の設定内容のみ変更して保存	保存が成功する	BUG2-5_設定内容変更.png	地代家賃設定画面	適用日を変えない場合は保存可能か		未検証	適用日変更が保存不可の原因かを切り分け
改善要望1:期間選択機能	IMP1-1	年間予実対比の現状表示	現状の年間予実対比画面を確認	年度単位(12ヶ月横並び)の固定表示	IMP1-1_年間予実対比_現状.png	年間予実対比	期間選択UIの有無		未検証	現状は年度単位の固定表示のみ。カレンダー選択UIがない
改善要望1:期間選択機能	IMP1-2	年間予算一覧の現状表示	現状の年間予算一覧画面を確認	年度単位(12ヶ月横並び)の固定表示	IMP1-2_年間予算一覧_現状.png	年間予算一覧(予算構成)	期間選択UIの有無		未検証	現状は年度単位の固定表示のみ。任意期間での絞り込みができない
改善要望1:期間選択機能	IMP1-3	予実対比(期間)の期間選択UIを参考記録	予実対比(期間)画面の期間選択UIをスクショ	カレンダー選択で任意期間を指定可能	IMP1-3_予実対比_期間選択.png	予実対比(期間)	年間予実対比・年間予算一覧にも同様のUIを追加する参考として記録		未検証	「期間 2026/03/01 - 2026/03/23」のようなカレンダー選択UIが存在
改善要望2:モーダル表示月の限定	IMP2-1	現状のモーダル表示月確認	適用開始日03/01の地代家賃設定保存時のモーダルを確認	1月〜12月の全月が表示される	IMP2-1_モーダル現状.png	月別設定モーダル	表示される月の範囲		未検証	現状:1-12月全月表示。適用開始前・月次予算未設定月も含む
改善要望2:モーダル表示月の限定	IMP2-2	適用開始月以前の月の扱い	モーダルで1月・2月(適用開始日03/01より前)の表示を確認	表示されるべきでない(適用開始前のため)	IMP2-2_モーダル適用前月.png	月別設定モーダル	1-2月にチェックボックスが表示されるか		未検証	現状:1月¥0→¥800,000/2月¥0→¥800,000が表示されチェック可能。期待:適用開始月以降のみ表示
改善要望2:モーダル表示月の限定	IMP2-3	月次予算未設定月の扱い	モーダルで4月以降(月次予算未設定)の表示を確認	月次予算設定済みの月のみ表示されるべき	IMP2-3_モーダル未設定月.png	月別設定モーダル	4月以降にチェックボックスが表示されているか		未検証	現状:4-12月も表示されチェック可能だが反映後はブランク。期待:月次予算設定済み月のみ表示
改善要望2:モーダル表示月の限定	IMP2-4	複数月の月次予算設定済み時	3月+4月の月次予算設定がある状態でモーダルを確認	適用開始月以降かつ月次予算設定済みの月(3月・4月)のみ表示	IMP2-4_モーダル複数月.png	月別設定モーダル	表示月が3月・4月のみに絞られるか		未検証	期待:3月+4月の2月分のみチェックボックス表示。5月以降は非表示
改善要望2:モーダル表示月の限定	IMP2-5	単月設定済み月のモーダル初期状態	3月に単月設定がある状態でモーダルを確認	3月(単月設定済み)はチェックOFF(保護)/他の月次予算設定済み月はチェックON	IMP2-5_モーダル単月設定月.png	月別設定モーダル	単月設定済み月のチェック初期状態が保護(OFF)されているか		未検証	設定済みタブ/未設定タブの件数と、単月設定済み月の初期チェック状態を確認
